model1,averagetime1,model2,averagetime2,model3,averagetime3
resnet18,0.014822381,resnet50,0.020442584,resnet152,0.038808061
resnet18,0.0143485,resnet50,0.019964976,vgg11,0.011867808
resnet18,0.014170592,resnet50,0.020244357,vgg16,0.0126313
resnet18,0.014106926,resnet50,0.019874525,vgg19,0.012614626
resnet18,0.014351936,resnet50,0.019910135,densenet121,0.033461167
resnet18,0.014414043,resnet50,0.019860686,densenet169,0.04353268
resnet18,0.014441409,resnet50,0.01986417,densenet201,0.049866501
resnet18,0.014352507,resnet152,0.037887995,resnet152,0.037529909
resnet18,0.013826257,resnet152,0.036796238,vgg11,0.011754423
resnet18,0.013349194,resnet152,0.034515297,vgg16,0.012362853
resnet18,0.013898137,resnet152,0.037133047,vgg19,0.012745872
resnet18,0.013770119,resnet152,0.036620536,densenet121,0.033130078
resnet18,0.014074447,resnet152,0.035383286,densenet169,0.0441601
resnet18,0.013950611,resnet152,0.036655336,densenet201,0.048226453
resnet18,0.013372459,vgg11,0.011712146,vgg11,0.011685189
resnet18,0.01352792,vgg11,0.011747615,vgg16,0.012248151
resnet18,0.013497821,vgg11,0.011809303,vgg19,0.01275319
resnet18,0.013586711,vgg11,0.011701563,densenet121,0.032487855
resnet18,0.013592245,vgg11,0.011800098,densenet169,0.042382301
resnet18,0.013602573,vgg11,0.01171379,densenet201,0.049499505
resnet18,0.013395423,vgg16,0.012883532,vgg16,0.012376759
resnet18,0.013666241,vgg16,0.012320085,vgg19,0.01262516
resnet18,0.012762443,vgg16,0.011719207,densenet121,0.031149017
resnet18,0.013549134,vgg16,0.012233826,densenet169,0.042574131
resnet18,0.013698003,vgg16,0.012290441,densenet201,0.048394064
resnet18,0.012881423,vgg19,0.012064572,vgg19,0.012009896
resnet18,0.013676802,vgg19,0.012539688,densenet121,0.032378798
resnet18,0.012845935,vgg19,0.012157118,densenet169,0.040711107
resnet18,0.012799453,vgg19,0.012146471,densenet201,0.047302187
resnet18,0.013583401,densenet121,0.033017889,densenet121,0.032599695
resnet18,0.013537597,densenet121,0.03240608,densenet169,0.042327997
resnet18,0.01370614,densenet121,0.033012503,densenet201,0.048090117
resnet18,0.012821126,densenet169,0.040312176,densenet169,0.04050669
resnet18,0.013198692,densenet169,0.040249918,densenet201,0.046172325
resnet18,0.013806911,densenet201,0.051168393,densenet201,0.047816872
resnet50,0.020281213,resnet50,0.020227991,resnet50,0.020246058
resnet50,0.019832066,resnet50,0.019793709,resnet152,0.036955131
resnet50,0.018560929,resnet50,0.018565183,vgg11,0.011574029
resnet50,0.019368387,resnet50,0.019487373,vgg16,0.012285218
resnet50,0.019448005,resnet50,0.01994711,vgg19,0.012960899
resnet50,0.019315037,resnet50,0.019270984,densenet121,0.033187614
resnet50,0.019348163,resnet50,0.019519206,densenet169,0.043279577
resnet50,0.019332347,resnet50,0.019322924,densenet201,0.049259502
resnet50,0.019220256,resnet152,0.037839802,resnet152,0.037917873
resnet50,0.018607155,resnet152,0.035803418,vgg11,0.011232169
resnet50,0.018864785,resnet152,0.036957891,vgg16,0.01214158
resnet50,0.017858241,resnet152,0.035320686,vgg19,0.012424758
resnet50,0.018986826,resnet152,0.036586504,densenet121,0.032130685
resnet50,0.019040277,resnet152,0.036316105,densenet169,0.041619148
